alpha,alpha3,batch_size,critic1_error,critic2_error,distribution_loss,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
0.96693975,,,1192.8763,1186.7383,-1.741771,0.0,-0.9660527,492.8,18.404741795228986,-712.7837220802955,2.8281837,8.227916666666668e-05,0.0002468375,0.0002468375,1.5701302,-562.2845,,,106496,3.3
0.94983405,,,1501.0272,1495.0676,-1.7297199,0.0,-0.98689634,500.0,29.134784137264795,1010.988105624948,2.6536062,8.194583333333334e-05,0.0002458375,0.0002458375,2.91638,-537.3434,,,108544,2.1
0.95240134,,,1381.6676,1377.9529,-1.7071244,0.0,-1.0151083,500.0,34.10844491650617,2911.921413281527,2.5345838,8.16125e-05,0.0002448375,0.0002448375,2.5328412,-524.05023,,,110592,2.1
0.94552976,,,867.4933,861.8779,-1.6995804,0.0,-0.9756266,500.0,33.81734720427911,4157.550790674601,2.4162652,8.127916666666668e-05,0.00024383749999999998,0.00024383749999999998,1.4108117,-522.4616,,,112640,2.1
0.91118354,,,1564.1941,1554.0485,-1.7152389,0.0,-0.9416362,500.0,0.002269906581655756,4296.374180749239,2.3350224,8.094583333333335e-05,0.0002428375,0.0002428375,1.5310562,-526.1953,,,114688,0.0
0.85731745,,,1666.0461,1664.4734,-1.7071441,0.1750081469520876,-0.8944729,500.0,63.11604469738836,4805.650203382548,2.3716226,8.06125e-05,0.00024183749999999996,0.00024183749999999996,2.1938581,-534.5291,,,116736,3.4
0.8016607,,,1387.1848,1391.3488,-1.7182217,0.1750081469520876,-0.89286005,500.0,91.71582326478821,4890.8394406057905,2.4840293,8.027916666666667e-05,0.0002408375,0.0002408375,2.5746195,-536.8495,,,118784,7.3
0.7464476,,,1472.8625,1468.6084,-1.7380034,0.0,-0.93807095,500.0,76.78263275545086,4515.28381155645,2.5421872,7.986250000000001e-05,0.0002395875,0.0002395875,3.7934551,-542.49426,,,120832,11.7
0.7164506,,,1841.4841,1840.6221,-1.7171122,0.0,-0.96544826,500.0,26.187566569529118,4786.489389917114,2.4665189,7.952916666666668e-05,0.0002385875,0.0002385875,3.290707,-543.1607,,,122880,6.2
0.69200873,,,1556.552,1556.737,-1.7057292,0.0,-0.9630885,500.0,76.88933334499806,5504.478213035163,2.3138614,7.919583333333333e-05,0.00023758749999999997,0.00023758749999999997,2.2346997,-541.62067,,,124928,6.1
0.6792184,,,1217.2207,1219.1643,-1.6653998,0.0,-1.0021524,500.0,63.38356306671214,5267.259232439838,2.1610737,7.88625e-05,0.0002365875,0.0002365875,1.6387047,-543.0043,,,126976,3.0
0.683943,,,1046.2234,1044.2028,-1.6784637,0.0,-0.9919386,500.0,52.39081847938566,4731.500744936324,2.0741615,7.852916666666668e-05,0.0002355875,0.0002355875,2.6634214,-544.22327,,,129024,0.0
0.69140404,,,1420.7483,1420.9469,-1.7073027,0.16482924121516684,-0.95196134,450.9,38.384522208403645,4235.787005839415,2.0429254,7.819433333333334e-05,0.000234583,0.000234583,6.1568727,-564.4669,,,131072,2.6
0.6823429,,,1896.8363,1902.0221,-1.7151842,0.30249903584729676,-0.934971,450.9,51.01601688552576,4667.807589092516,2.0002189,7.7861e-05,0.000233583,0.000233583,12.151561,-575.506,,,133120,2.6
0.6764883,,,1687.1875,1705.3617,-1.729014,0.13766979463212992,-1.0256813,450.9,54.8859762818028,4935.934597407843,1.8854198,7.752766666666666e-05,0.00023258299999999997,0.00023258299999999997,12.528944,-579.50226,,,135168,4.6
0.66979444,,,1862.4183,1881.1635,-1.7028844,0.027470020916914105,-1.027107,500.0,37.266526491555666,5850.099130504683,1.8056837,7.719433333333334e-05,0.00023158299999999997,0.00023158299999999997,15.575885,-582.04034,,,137216,2.0
0.65876263,,,1753.2006,1761.8933,-1.7071364,0.03700187641309827,-0.9816309,500.0,52.159721883113015,5944.164013838759,1.7426494,7.686100000000001e-05,0.000230583,0.000230583,9.933015,-588.4755,,,139264,2.0
0.63349617,,,1454.1904,1456.346,-1.6955162,0.13380800614350433,-0.9261233,500.0,90.01412797057519,5261.281449351249,1.7269328,7.652766666666666e-05,0.00022958299999999997,0.00022958299999999997,7.353694,-590.5967,,,141312,2.4
0.6001768,,,1394.7788,1397.1263,-1.674008,0.10633798522659021,-0.9234123,456.0,57.382814332627255,4282.346480420735,1.6697571,7.618433333333334e-05,0.00022855299999999996,0.00022855299999999996,1.5206071,-606.1939,,,143360,2.4
0.57696635,,,1772.677,1770.3181,-1.6833258,0.03714139080774583,-0.91830456,456.0,12.020633664654518,4160.289686844243,1.5471385,7.576766666666668e-05,0.000227303,0.000227303,3.9252307,-608.2456,,,145408,0.0
